Comunidades y ciudades autónomas;Principales variables;Agrupación de actividad;Total
Ceuta;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;50,24
Ceuta;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;30,77
Ceuta;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;68,42
Ceuta;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;48,97
Ceuta;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;28,77
Ceuta;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;23,08
Ceuta;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;10,53
Ceuta;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;34,46
Ceuta;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;2,22
Ceuta;D.13 % de empleados que teletrabajan regularmente(3);Industria;3,16
Ceuta;D.13 % de empleados que teletrabajan regularmente(3);Construcción;0,29
Ceuta;D.13 % de empleados que teletrabajan regularmente(3);Servicios;2,55
Ceuta;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;2,6
Ceuta;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;2,67
Ceuta;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;3
Ceuta;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;2,57
Melilla;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;81,16
Melilla;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;100
Melilla;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;88,44
Melilla;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;76,88
Melilla;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;75,21
Melilla;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;100
Melilla;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;68,66
Melilla;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;74,38
Melilla;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;55,72
Melilla;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;61,11
Melilla;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;43,5
Melilla;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;58,75
Melilla;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;28,96
Melilla;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;38,89
Melilla;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;25,93
Melilla;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;28,75
Melilla;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;21,96
Melilla;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;11,11
Melilla;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;24,16
Melilla;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;22,49
Melilla;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;2,25
Melilla;D.13 % de empleados que teletrabajan regularmente(3);Industria;0,82
Melilla;D.13 % de empleados que teletrabajan regularmente(3);Construcción;2,53
Melilla;D.13 % de empleados que teletrabajan regularmente(3);Servicios;2,31
Melilla;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;2,08
Melilla;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;1
Melilla;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;2,26
Melilla;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;2,08
